name1,score1,score2,name2
﻿Volovich Vasily,0,1,Nabaty Tamir
Grachev Boris,0.5,0.5,Kholopov Alexander A.
Rodchenkov Vitaly,0.5,0.5,Kokarev Dmitry
Vavulin Maksim,1,0,Uraev Ivan
Kovalev Egor,0,1,Frolyanov Dmitry
Savchenko Boris,1,0,Shubin Kirill
Nazaretyan Tigran,0,1,Timofeev Artyom
Levin Evgeny A.,1,0,Martynyuk Elizaveta
Rozhkov Viacheslav,0,1,Boruchovsky Avital
Mozharov Mikhail,1,0,Konaplev Anton
Hakobyan Hovhannes H.,0.5,0.5,Bocharov Ivan
Lomasov Semen,1,0,Marzano Carlo
Murzin Volodar,0,1,Tsydypov Zhamsaran
Ladva Ottomar,1,0,Tugarin Anton
Tarasov Oleg,0,1,Iljiushenok Ilia
Sorokin Aleksey,1,0,Primbetov Kazbek
Matyunin Maxim,0,1,Khegay Dmitriy
Matinian Nikita,1,0,Garayev Kanan
Geshko Aleksey,0,1,Belyakov Bogdan
Golubov Saveliy,1,0,Gurvich Vitaly
Suleymanli Aydin,0,1,Usmanov Vasily
Zakhartsov Vladimir,1,0,Salman Pavel
Zherebtsova Alexandra,0,1,Khanin Semen
Shinkevich Vitaly,1,0,Aleksanyan Hrant
Vysotskiy Oleg,0,1,Ivanov Oleg V
Lobanov Sergei,1,0,Fitiak Sergey
Rozanov Pavel B.,0,1,Drygalov Andrey
Baghdasaryan Vahe,1,0,Kesidis Odyseas
Shuvalov Evgenij,0,1,Shukh Nikolai
Oganian Miran,0.5,0.5,Skorodelov Semen
Ageichenko Genadi A,0,1,Sindarov Javokhir
Savenkov Konstantin,0.5,0.5,Mestnikov Aital
Mamatov Melis,0,1,Ushenina Anna
Faizrakhmanov Ramil,1,0,Pogorelskikh Sergey
Golikov Daniil,0,1,Kozionov Kirill
Gaifullin Artur,1,0,Pranizin Gennady
Kretov Evgenij,0,1,Samusenko Maksim
Ofitserian Boris,0.5,0.5,Dolsonov Ayusha
Marinskii Yurii,0,1,Zakaryan David
Fakhrutdinov Timur,1,0,Shaydullina Sandugach
Kavyev Ruslan,0.5,0.5,Yuferov Sergey N
Drygalov Sergey,0.5,0.5,Taalaibekov Tagir
Guliev Gasan,0,1,Nozdrachev Leonid
Harutjunyan Gevorg,1,0,Kutsanyan Andranik
Chernyak Viktoria,0,1,Yeletsky Ivan
Kukhmazov Arsen,0.5,0.5,Ganerdene Sugar
Makoveev Ilya,0,1,Vokhidov Shamsiddin
Kardashevskiy Evgeny,1,0,Manafov Vugar
Kukelko Alexey,0.5,0.5,Efanov Nikolai
Korchmar Vasiliy,1,0,Serikbay Assel
Tsybikov Tumen,1,0,Syrchikov Alexander
Gorbatov Alexej,1,0,Mrykhin Igor
Nurgali Nazerke,0,1,Sanzhaev Darsen
Naumkin Igor,0.5,0.5,Astafurov Arseniy
Cherenkov Andrey,1,0,Yagupov Igor
Murtazin Bulat,1,0,Ivanov Platon-Jaan
Poliakov Artem,0,1,Gubajdullin Alexei
Mischuk Dmitry,1,0,Zavialov Nikita A.
Lepaev Andrey,0.5,0.5,Assaubayeva Bibisara
Salemgareev Tagir,1,0,Ismagilov Damir
Marchuk Rostislav,1,0,Sattarov Bobir
Geivondian Arman,1,0,Fedotov Alexey
Priyanka K,0,1,Tekeyev Zaur
Saiyn Zhanat,1,0,Ufimtsev Egor
Chibukhchyan Erik,0.5,0.5,Muradli Mahammad
Mukhutdinov Tigran,1,0,Vinogradov Vladimir
Proleiko Julian,1,0,Beletsky Alexey
Saveliev Alexei,1,0,Averyanov Grigori
