tournament,player,pos,round1,round2,round3,round4,total,points
masters,Patrick Reed,1,69,66,67,71,273,600
masters,Rickie Fowler,2,70,72,65,67,274,330
masters,Jordan Spieth,3,66,74,71,64,275,210
masters,Jon Rahm,4,75,68,65,69,277,150
masters,Rory McIlroy,T5,69,71,65,74,279,106
masters,Cameron Smith,T5,71,72,70,66,279,106
masters,Henrik Stenson,T5,69,70,70,70,279,106
masters,Bubba Watson,T5,73,69,68,69,279,106
masters,Marc Leishman,9,70,67,73,70,280,88
masters,Tony Finau,T10,68,74,73,66,281,79.5
masters,Dustin Johnson,T10,73,68,71,69,281,79.5
masters,Charley Hoffman,T12,69,73,73,67,282,68
masters,Louis Oosthuizen,T12,71,71,71,69,282,68
masters,Justin Rose,T12,72,70,71,69,282,68
masters,Paul Casey,T15,74,75,69,65,283,60
masters,Russell Henley,T15,73,72,71,67,283,60
masters,Tommy Fleetwood,T17,72,72,66,74,284,56
masters,Justin Thomas,T17,74,67,70,73,284,56
masters,Hideki Matsuyama,19,73,71,72,69,285,53
masters,Jason Day,T20,75,71,69,71,286,47.6
masters,Francesco Molinari,T20,72,74,70,70,286,47.6
masters,Webb Simpson,T20,76,73,70,67,286,47.6
masters,Jimmy Walker,T20,73,71,71,71,286,47.6
masters,Branden Grace,T24,73,73,74,67,287,39.38
masters,Adam Hadwin,T24,69,75,72,71,287,39.38
masters,Si Woo Kim,T24,75,73,68,71,287,39.38
masters,Bernd Wiesberger,T24,70,73,72,72,287,
masters,Kevin Kisner,T28,72,75,69,72,288,32.58
masters,Satoshi Kodaira,T28,71,74,71,72,288,
masters,Matt Kuchar,T28,68,75,72,73,288,32.58
masters,Ryan Moore,T28,74,72,72,70,288,32.58
masters,Daniel Berger,T32,73,74,71,71,289,25.92
masters,HaoTong Li,T32,69,76,72,72,289,
masters,Adam Scott,T32,75,73,70,71,289,25.92
masters,Tiger Woods,T32,73,75,72,69,289,25.92
masters,Zach Johnson,T36,70,74,74,72,290,22.1
masters,Phil Mickelson,T36,70,79,74,67,290,22.1
