tournament,player,pos,round1,round2,round3,round4,total,prize,points
masters,Patrick Reed,1,69,66,67,71,273,"$1,980,000.00",600.00
masters,Rickie Fowler,2,70,72,65,67,274,"$1,188,000.00",330.00
masters,Jordan Spieth,3,66,74,71,64,275,"$748,000.00",210.00
masters,Jon Rahm,4,75,68,65,69,277,"$528,000.00",150.00
masters,Rory McIlroy,T5,69,71,65,74,279,"$386,375.00",106.00
masters,Cameron Smith,T5,71,72,70,66,279,"$386,375.00",106.00
masters,Henrik Stenson,T5,69,70,70,70,279,"$386,375.00",106.00
masters,Bubba Watson,T5,73,69,68,69,279,"$386,375.00",106.00
masters,Marc Leishman,9,70,67,73,70,280,"$319,000.00",88.00
masters,Tony Finau,T10,68,74,73,66,281,"$286,000.00",79.50
masters,Dustin Johnson,T10,73,68,71,69,281,"$286,000.00",79.50
masters,Charley Hoffman,T12,69,73,73,67,282,"$231,000.00",68.00
masters,Louis Oosthuizen,T12,71,71,71,69,282,"$231,000.00",68.00
masters,Justin Rose,T12,72,70,71,69,282,"$231,000.00",68.00
masters,Paul Casey,T15,74,75,69,65,283,"$192,500.00",60.00
masters,Russell Henley,T15,73,72,71,67,283,"$192,500.00",60.00
masters,Tommy Fleetwood,T17,72,72,66,74,284,"$170,500.00",56.00
masters,Justin Thomas,T17,74,67,70,73,284,"$170,500.00",56.00
masters,Hideki Matsuyama,19,73,71,72,69,285,"$154,000.00",53.00
masters,Jason Day,T20,75,71,69,71,286,"$128,150.00",47.60
masters,Francesco Molinari,T20,72,74,70,70,286,"$128,150.00",47.60
masters,Webb Simpson,T20,76,73,70,67,286,"$128,150.00",47.60
masters,Jimmy Walker,T20,73,71,71,71,286,"$128,150.00",47.60
masters,Branden Grace,T24,73,73,74,67,287,"$93,775.00",39.38
masters,Adam Hadwin,T24,69,75,72,71,287,"$93,775.00",39.38
masters,Si Woo Kim,T24,75,73,68,71,287,"$93,775.00",39.38
masters,Bernd Wiesberger,T24,70,73,72,72,287,"$93,775.00",
masters,Kevin Kisner,T28,72,75,69,72,288,"$76,450.00",32.58
masters,Satoshi Kodaira,T28,71,74,71,72,288,"$76,450.00",
masters,Matt Kuchar,T28,68,75,72,73,288,"$76,450.00",32.58
masters,Ryan Moore,T28,74,72,72,70,288,"$76,450.00",32.58
masters,Daniel Berger,T32,73,74,71,71,289,"$63,663.00",25.92
masters,HaoTong Li,T32,69,76,72,72,289,"$63,663.00",
masters,Adam Scott,T32,75,73,70,71,289,"$63,663.00",25.92
masters,Tiger Woods,T32,73,75,72,69,289,"$63,663.00",25.92
masters,Zach Johnson,T36,70,74,74,72,290,"$55,275.00",22.10
masters,Phil Mickelson,T36,70,79,74,67,290,"$55,275.00",22.10
masters,Rafa Cabrera Bello,T38,69,76,74,72,291,"$46,200.00",17.56
masters,Fred Couples,T38,72,74,73,72,291,"$46,200.00",17.56
masters,Bryson DeChambeau,T38,74,74,72,71,291,"$46,200.00",17.56
masters,Matthew Fitzpatrick,T38,75,74,67,75,291,"$46,200.00",
masters,Bernhard Langer,T38,74,74,71,72,291,"$46,200.00",17.56
masters,Jhonattan Vegas,T38,77,69,72,73,291,"$46,200.00",17.56
masters,Kiradech Aphibarnrat,T44,79,70,72,71,292,"$35,200.00",
masters,Brian Harman,T44,73,74,76,69,292,"$35,200.00",12.32
masters,Tyrrell Hatton,T44,74,75,73,70,292,"$35,200.00",12.32
masters,Ian Poulter,T44,74,75,74,69,292,"$35,200.00",12.32
masters,Martin Kaymer,48,74,73,74,73,294,"$30,140.00",10.76
masters,Vijay Singh,49,71,74,79,71,295,"$28,600.00",10.20
masters,Xander Schauffele,T50,71,78,72,75,296,"$27,720.00",9.35
masters,Doug Ghim,T50,72,76,74,74,296,,
